Bank,City,BIC
AAFAQ ISLAMIC FINANCE P.S.C.,DUBAI,AIFPAEAD
ARAB BANK PLC,DUBAI,ARABAEADMAK
CITIBANK N.A.,DUBAI,CITIAEADTRD
EMIRATES ISLAMIC BANK P.J.S.C.,DUBAI,MEBLAEAD
FIRST ABU DHABI BANK PJSC,ABU DHABI,NBADAEAAECU
FIRST ABU DHABI BANK PJSC,UMM AL QAIWAIN,NBADAEAAUAQ
MASHREQBANK PSC.,DUBAI,BOMLAEADCSU
SOCIETE GENERALE DIFC BRANCH,DUBAI,SOGEAEAD
3I INVESTMENTS PLC,LONDON,IIIGGB22
ALLIANCE DIGITAL CORPORATE LTD,LONDON,ADGCGB22
ATOM BANK PLC,DURHAM,ATMBGB22TSY
"BANK OF AMERICA EUROPE DESIGNATED ACTIVITY COMPANY, LONDON BRANCH",CROYDON,MLIBGB4X
BANK OF BARODA (UK) LIMITED,LONDON,BARBGB22TOO
BANK OF SCOTLAND PLC,EDINBURGH,HLFXGB22
BARING ASSET MANAGEMENT LIMITED,LONDON,BAMLGB3L
BLOOMBERG LP,LONDON,BLBGGB2L
BLOOMBERG LP,LONDON,BLBGGB4L015
1ST PMF BANCORP,LOS ANGELES,PMFAUS66HKG
ALLY FINANCIAL INC,DETROIT,ALYIUS33
APOLLO BANK,MIAMI,UCBMUS3M
"BANCO BILBAO VIZCAYA ARGENTARIA, NEW YORK",NEW YORK,BBVAUS33IBF
BANK OF AMERICA CORPORATION,NEW YORK,MLCOUS3GFDS
"BANK OF AMERICA, N.A.",SAN FRANCISCO,BOFAUS6S
BANK OF NOVA SCOTIA,NEW YORK,NOSCUS33TL3
BARCLAYS CAPITAL,NEW YORK,BARCUS3BMEM
BMO HARRIS BANK N.A.,CHICAGO,HATRUS44
